date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime,likes,retweets,neutral,negative,positive,composite
2021-02-05,14:39,2:39 PM,854.93,854.67,854.868,88,75228.355,5,855.11,854.62,854.836,12988,11102611.33,54,854.84,854.93,854.8,854.913,0.010863434,0.01080408,16,0,1,0,0,0
2021-02-05,14:42,2:42 PM,855.09,854.5,854.868,334,285525.91,8,855.13,854.495,854.71,19554,16713000.76,103,854.99,854.58,854.73,855.08,0.010863434,0.010655091,2,2,0.869,0.131,0,-0.6808
2021-02-05,14:43,2:43 PM,855.235,854.59,855.011,445,380479.845,8,855.48,854.4,854.848,23646,20213727.75,101,855.1,854.705,855.09,854.4,0.011032529,0.01081827,0,0,1,0,0,0
2021-02-05,14:46,2:46 PM,854.04,853.17,853.712,927,791391.5,16,854.095,852.99,853.523,19109,16309962,117,854.04,853.25,854.013,853.587,0.009496489,0.009251519,2.2,1,0.8982,0,0.1018,0.37282
2021-02-05,14:47,2:47 PM,853.885,853.28,853.684,184,157077.88,4,854.139,853.05,853.636,16198,13827193.37,90,853.885,853.69,853.65,853.7,0.009463379,0.009385136,0,0,0.78,0,0.22,0.8934
2021-02-05,14:48,2:48 PM,853.76,853.7,853.75,132,112695.005,5,853.9,853.28,853.702,11322,9665617.14,55,853.76,853.755,853.7,853.467,0.009541423,0.009463178,0,0,1,0,0,0
2021-02-05,14:50,2:50 PM,852.28,851.45,851.723,497,423306.22,11,852.26,851.37,851.765,41618,35448772.88,135,852.28,851.98,852.1,852,0.007144538,0.007172765,0,0,1,0,0,0
2021-02-05,14:52,2:52 PM,851.97,851.26,851.612,1355,1153934.825,18,852.04,851.11,851.784,26388,22476875.69,114,851.27,851.8,851.11,851.88,0.007013283,0.007195231,1,0,1,0,0,0
2021-02-05,14:53,2:53 PM,851.6,851.25,851.425,496,422306.89,9,851.68,851,851.339,22382,19054674.32,116,851.25,851.395,851.673,851.526,0.006792159,0.006669039,0,0,0.8465,0.1535,0,-0.23835
2021-02-05,14:54,2:54 PM,851.48,850.92,851.22,448,381346.53,9,851.59,850.8,851.137,16518,14059075.93,91,851.48,850.92,851.49,850.93,0.006549751,0.006430184,8.5,1.5,0.8205,0.112,0.0675,-0.1744
